sensor_1_K,sensor_2_K
300.152359,300.089638
299.480008,300.109998
300.375226,300.679594
300.470282,300.417556
299.024482,300.178436
299.348910,300.731651
300.063920,299.405618
299.841879,299.680124
299.991599,299.536712
299.573478,299.805095
300.439699,299.311657
300.388896,300.317575
300.033015,299.888889
300.563621,299.264597
300.233755,299.492210
299.570354,300.156757
300.184375,300.419063
299.520559,300.998365
300.439225,301.456931
299.975037,300.207205
299.907569,299.505231
299.659535,298.933977
300.611271,300.133856
299.922735,299.593529
299.785836,299.792321
299.823933,299.693952
300.266155,299.929605
300.182722,300.532990
300.206366,300.078524
300.215411,299.920683
301.070824,299.482173
299.796792,299.162659
299.743879,299.756846
299.593114,299.973109
300.307990,300.883965
300.564486,300.065137
299.943027,300.491370
299.579927,299.750353
299.587784,299.407532
300.325381,299.517457
300.371858,299.637432
300.272112,301.064347
299.668343,299.589553
300.118125,300.419731
300.061860,299.549420
300.115019,300.467286
300.444395,300.194878
300.124492,299.925345
300.357325,299.984978
300.058130,299.680168
300.176792,300.233377
300.357292,299.786269
299.324089,299.405075
299.905519,299.383771
299.844567,300.114680
299.776449,300.824393
299.976199,300.122141
300.880865,299.990973
299.721826,300.202208
300.661924,300.722153
299.361052,300.189547
300.061358,299.885930
300.338052,300.656894
300.579168,300.331279
300.672496,300.898702
300.745766,300.237109
300.208258,299.548642
300.186227,299.492868
300.882362,301.019138
300.394816,301.072857
299.890779,300.139206
300.001127,300.055874
300.148127,300.997220
300.897389,299.732503
300.761792,299.858656
301.078349,300.648113
300.562710,300.149985
300.899485,300.365944
301.177489,300.308353
300.755050,300.580757
301.183645,301.137906
300.670288,300.501930
300.866135,300.801333
300.903582,299.477234
300.543659,300.501128
301.432495,300.127229
301.002007,299.962966
301.290890,300.156976
301.573156,300.452807
301.604364,301.101755
301.762255,300.004647
301.428905,300.707287
301.315181,300.474089
301.535727,300.576603
300.780728,301.266133
300.949679,301.058165
301.060737,301.482186
301.272309,300.760631
302.019641,300.514316
301.415797,300.774759
301.728182,301.032327
302.615536,301.023736
301.836365,300.417600
302.431736,301.029349
301.644543,301.122489
302.056889,302.291335
301.732725,301.995190
302.086210,300.654259
302.723724,300.961237
301.487599,300.397188
302.615997,300.857464
302.565009,301.334450
302.196246,301.803325
301.817289,300.859521
302.623190,300.920567
302.368993,300.197482
302.796492,301.213186
302.737291,300.786608
303.573257,301.076291
302.698480,300.925676
302.351985,301.339966
