sensor_1_K,sensor_2_K
299.505439,299.872094
299.816107,300.404491
300.643963,300.127029
300.096987,299.857357
300.460115,300.157252
300.288552,300.038061
299.681768,300.127316
300.270976,301.000616
299.841702,299.847396
299.838805,299.730119
300.048584,300.706815
299.237035,299.647150
300.596083,300.859945
299.664455,299.902901
300.500135,300.036920
300.068161,300.366814
300.766017,300.606555
299.670015,300.498499
299.844103,299.898182
300.168885,299.816786
298.896264,300.173736
300.413961,300.067360
300.770815,299.678863
300.563403,300.205364
300.377385,300.497060
299.927011,300.083253
300.640951,300.782000
300.537015,300.205151
300.196310,299.922093
300.002557,300.050107
299.819117,299.719945
299.384884,299.484351
300.613115,300.238264
298.913978,299.573375
299.814926,299.820854
300.082190,299.955400
300.429941,300.192552
300.880836,300.230582
300.496686,300.027116
299.854324,299.034361
300.364294,299.896749
299.369735,299.612343
300.716067,299.944572
299.923806,300.496149
299.666637,300.403296
299.686145,300.111665
299.978000,300.255282
299.816302,299.259460
301.162823,300.102793
299.665250,300.319817
300.048537,299.657277
300.055672,300.216255
300.066803,299.827465
300.093027,300.522993
299.838971,300.582596
299.804185,299.767456
299.682690,300.773606
299.389307,299.955252
300.262895,301.090267
300.669973,299.823375
299.930944,300.111734
299.949493,300.197989
300.098434,299.728351
300.055737,299.254211
299.598748,299.731022
301.031646,300.685294
300.602120,299.996543
300.061555,300.013594
300.601960,300.952075
300.271240,300.457793
300.422803,300.580120
300.749753,300.672192
301.084336,299.812789
301.408571,300.348389
301.542534,300.381128
300.608677,300.247017
300.526462,299.800772
300.870014,300.600395
300.928866,299.560843
300.542613,299.943436
300.645020,300.029496
301.407888,300.250572
301.868562,300.899910
300.981200,301.330660
300.817596,301.386635
301.047323,300.951974
300.739143,300.792219
301.148207,299.427778
301.544005,301.184929
301.340427,301.958277
302.046851,300.894281
301.553591,300.808991
301.767390,301.065522
301.501208,301.104754
302.282228,300.832212
301.062062,300.602199
301.570291,300.994367
301.184088,300.151989
302.232891,299.921074
302.293698,301.567157
301.659380,300.682048
302.794979,301.293427
301.865866,301.737091
301.371289,301.594245
301.970750,300.731678
302.339618,301.194975
302.090540,300.473725
303.388487,301.028594
302.731263,301.627937
303.216899,301.144923
303.091728,299.727133
301.603249,300.051016
302.304442,300.799605
301.176075,301.890684
302.263927,301.347183
303.191291,301.341763
302.258548,300.636536
302.408020,301.391031
302.935434,300.203425
303.211816,301.535022
302.685577,301.976717
