sensor_1_K,sensor_2_K
300.609434,300.358551
297.932843,300.439998
301.543777,302.718411
301.969374,301.670364
296.243574,300.714145
297.608118,302.927536
300.542766,297.624328
299.736040,298.723814
300.422714,298.152308
298.844172,299.228800
302.409126,297.258951
302.312183,301.287590
301.001260,299.578972
303.242775,297.089195
302.049077,298.008388
299.528093,300.676742
302.123830,301.737641
299.615409,304.068102
303.444268,305.917264
301.749187,300.934974
301.648573,298.145477
300.833370,295.880709
304.824975,300.702387
302.263255,298.565224
301.915837,299.386578
302.276127,299.021392
304.260566,299.994467
304.149939,302.440704
304.475026,300.657825
304.748945,300.063789
308.415354,298.349483
303.570748,297.113609
303.617084,299.535043
303.278159,300.447321
306.407577,304.140556
307.708854,300.917671
305.503248,302.677671
304.335537,299.771337
304.655567,298.460459
307.897836,298.963222
308.378164,299.508805
308.275270,305.284686
306.156945,299.456134
308.252362,302.849697
308.321919,299.443295
308.826212,303.191306
310.431097,302.179603
309.433285,301.180442
310.639556,301.498616
309.709634,300.359322
310.441911,302.652047
311.411241,300.943095
307.514500,299.497065
310.064145,299.489559
310.031344,302.489593
309.956278,305.403284
310.938480,302.667336
314.725638,302.213754
310.242850,303.127643
314.141129,305.274084
309.059774,303.207908
311.967178,302.055161
313.164037,305.198111
314.202402,303.952040
314.633418,306.275339
314.968029,303.679727
312.843439,300.973709
312.764793,300.795500
315.543020,306.942455
313.570947,307.196147
311.517582,303.497259
311.906726,303.196499
312.427763,306.991270
315.343491,301.958567
314.705804,302.486092
315.863171,305.663548
313.678621,303.687347
314.891053,304.564149
315.856193,304.343383
314.007845,305.439207
315.552418,307.670607
313.318484,305.126082
313.911187,306.319639
313.860637,301.015754
312.211488,305.100397
315.548791,303.590431
313.600735,302.915577
314.522637,303.670403
315.411063,304.829107
315.288765,307.396903
315.667214,302.977120
314.075213,305.753014
313.356713,304.782276
313.970761,305.151142
310.678549,307.864884
311.078502,306.985490
311.243672,308.630969
311.808093,305.691118
314.513139,304.649266
311.811433,305.631553
312.772955,306.599517
316.032988,306.500099
312.625881,304.007826
314.716187,306.384505
311.275769,306.684232
312.633293,311.284360
311.044802,310.022185
312.167157,304.578605
314.426085,305.724499
309.191099,303.384204
313.415024,305.139214
312.922380,306.959169
311.159752,308.744860
309.357594,304.878116
312.296234,305.029133
310.995944,302.042075
312.423996,306.008708
311.906884,304.204832
314.972148,305.264709
311.196210,304.562173
309.535214,306.118128
