sensor_1_K,sensor_2_K
301.523585,300.896378
294.800079,301.099983
303.752256,306.795938
304.702824,304.175556
290.244824,301.784355
293.489102,307.316514
300.639202,294.056185
298.418787,296.801242
299.915994,295.367120
295.734780,298.050951
304.396990,293.116569
303.888960,303.175755
300.330153,298.888887
305.636206,292.645969
302.337547,294.922105
295.703538,301.567569
301.843754,304.190633
295.205587,309.983654
304.392252,314.569312
299.750370,302.072047
299.075688,295.052309
296.595352,289.339769
306.112707,301.338557
299.227353,295.935295
297.858361,297.923214
298.239332,296.939516
302.661546,299.296046
301.827220,305.329901
302.063663,300.785243
302.154105,299.206826
310.708238,294.821731
297.967925,291.626585
297.438786,297.568460
295.931136,299.731087
303.079897,308.839650
305.644861,300.651373
299.502907,304.913726
296.036215,297.503724
296.351554,294.076066
304.010976,295.176615
304.785525,296.378868
304.110311,310.652150
298.398170,295.910295
303.218673,304.220285
302.971477,295.527466
303.807977,304.718241
307.393482,302.007663
304.470906,299.326654
307.058623,299.937424
304.307542,296.903131
305.715334,302.447628
307.720874,297.986790
297.568097,294.182211
303.539878,293.973002
303.065822,301.281808
302.498022,308.374035
304.586884,301.341581
313.703119,300.014608
302.160880,302.106046
311.589022,307.278785
298.587006,301.920112
305.576933,298.845370
308.311550,306.510470
310.671881,303.203881
311.536573,308.821848
312.183654,302.143960
306.706692,295.191775
306.368989,294.561138
313.198192,309.745744
308.176585,310.199844
302.976791,300.775460
303.908311,299.849687
305.194502,309.166340
312.492152,296.418221
310.930704,297.574895
313.880941,305.360913
308.499969,300.267592
311.634489,302.311867
314.173202,301.617570
309.699934,304.220352
313.729970,309.667911
308.333954,303.181719
310.023914,306.046999
310.124250,292.675123
306.245698,302.781191
314.849957,298.907508
310.256563,297.128507
312.852846,298.930722
315.379265,301.749739
315.391734,308.098669
316.667974,296.985889
313.029045,303.869573
311.583891,301.393969
313.479214,302.274665
305.617097,309.024821
306.992738,306.799376
307.787926,310.893301
309.586929,303.531018
316.742414,300.920775
310.385189,303.377824
313.189496,305.805905
321.742878,305.572248
313.630567,299.363045
319.263357,305.332670
311.070344,306.116217
314.872675,317.656908
311.309977,314.547821
314.523958,300.991029
320.578526,303.913557
307.897087,298.126063
318.861366,302.582101
318.032356,307.205582
314.026242,311.748298
309.918913,302.164628
317.660970,302.629874
314.802902,295.254255
318.762723,305.266997
317.856526,300.857409
325.903040,303.610963
316.843216,301.962057
313.067334,305.962768
